iter	Passed	Remaining
1183	18304	28074
1184	18321	28061
1185	18337	28047
1186	18354	28034
1187	18371	28020
1188	18387	28006
1189	18402	27990
1190	18417	27974
1191	18432	27958
1192	18447	27941
1193	18462	27925
1194	18476	27908
1195	18491	27892
1196	18507	27877
1197	18521	27860
1198	18537	27845
1199	18552	27829
1200	18567	27812
1201	18582	27795
1202	18596	27778
1203	18610	27761
1204	18627	27747
1205	18643	27732
1206	18659	27718
1207	18676	27704
1208	18692	27690
1209	18707	27675
1210	18722	27658
1211	18738	27644
1212	18754	27629
1213	18769	27613
1214	18784	27597
1215	18800	27582
1216	18815	27566
1217	18830	27550
1218	18846	27534
1219	18861	27519
1220	18877	27504
1221	18892	27487
1222	18907	27471
1223	18923	27458
1224	18934	27436
1225	18950	27420
1226	18966	27405
1227	18982	27391
1228	18997	27375
1229	19014	27362
1230	19030	27348
1231	19045	27332
1232	19061	27317
1233	19076	27301
1234	19091	27284
1235	19106	27268
1236	19120	27250
1237	19135	27234
1238	19151	27219
1239	19166	27203
1240	19181	27188
1241	19196	27172
1242	19212	27157
1243	19227	27140
1244	19242	27125
1245	19257	27108
1246	19271	27090
1247	19286	27075
1248	19301	27058
1249	19317	27044
1250	19337	27035
1251	19356	27024
1252	19377	27017
1253	19413	27029
1254	19431	27018
1255	19457	27016
1256	19473	27002
1257	19487	26985
1258	19503	26970
1259	19518	26954
1260	19533	26937
1261	19548	26921
1262	19563	26906
1263	19578	26889
1264	19594	26874
1265	19610	26860
1266	19626	26845
1267	19641	26829
1268	19655	26811
1269	19670	26795
1270	19685	26778
1271	19700	26762
1272	19715	26746
1273	19729	26729
1274	19742	26710
1275	19757	26694
1276	19773	26679
1277	19788	26662
1278	19802	26646
1279	19817	26629
1280	19831	26612
1281	19846	26596
1282	19861	26579
1283	19876	26563
1284	19894	26551
1285	19912	26539
1286	19927	26523
1287	19941	26506
1288	19956	26489
1289	19970	26472
1290	19985	26455
1291	19999	26438
1292	20014	26423
1293	20029	26406
1294	20043	26389
1295	20058	26373
1296	20072	26356
1297	20087	26339
1298	20102	26324
1299	20116	26306
1300	20132	26290
1301	20146	26274
1302	20161	26257
1303	20175	26240
1304	20189	26223
1305	20203	26205
1306	20218	26189
1307	20233	26173
1308	20249	26158
1309	20264	26142
1310	20278	26125
1311	20291	26106
1312	20302	26086
1313	20315	26066
1314	20329	26049
1315	20341	26029
1316	20355	26012
1317	20368	25993
1318	20384	25978
1319	20398	25962
1320	20414	25946
1321	20431	25933
1322	20446	25917
1323	20461	25901
1324	20475	25884
1325	20491	25869
1326	20506	25853
1327	20519	25835
1328	20535	25820
1329	20551	25804
1330	20567	25789
1331	20582	25774
1332	20596	25757
1333	20612	25741
1334	20628	25727
1335	20644	25713
1336	20660	25698
1337	20676	25683
1338	20691	25667
1339	20706	25651
1340	20721	25635
1341	20737	25620
1342	20753	25605
1343	20768	25590
1344	20784	25574
1345	20799	25559
1346	20814	25542
1347	20828	25525
1348	20842	25508
1349	20857	25493
1350	20872	25476
1351	20887	25460
1352	20902	25444
1353	20916	25426
1354	20930	25410
1355	20941	25389
1356	20956	25373
1357	20971	25356
1358	20985	25340
1359	21000	25324
1360	21015	25308
1361	21029	25291
1362	21043	25274
1363	21058	25258
1364	21073	25241
1365	21087	25224
1366	21101	25208
1367	21116	25191
1368	21131	25175
1369	21145	25158
1370	21160	25142
1371	21175	25126
1372	21189	25109
1373	21203	25092
1374	21218	25076
1375	21232	25059
1376	21246	25042
1377	21261	25026
1378	21276	25010
1379	21291	24994
1380	21305	24977
1381	21320	24961
1382	21334	24944
1383	21349	24928
1384	21364	24912
1385	21379	24896
1386	21393	24879
1387	21408	24863
1388	21422	24846
1389	21436	24829
1390	21451	24813
1391	21466	24797
1392	21480	24780
1393	21495	24764
1394	21510	24748
1395	21523	24730
1396	21538	24714
1397	21552	24697
1398	21567	24681
1399	21581	24664
1400	21592	24643
1401	21606	24627
1402	21621	24611
1403	21636	24594
1404	21651	24578
1405	21664	24561
1406	21676	24541
1407	21690	24525
1408	21705	24509
1409	21720	24492
1410	21734	24476
1411	21749	24460
1412	21765	24445
1413	21778	24427
1414	21793	24412
1415	21807	24395
1416	21822	24379
1417	21833	24359
1418	21848	24343
1419	21863	24326
1420	21877	24310
1421	21892	24293
1422	21906	24277
1423	21921	24261
1424	21935	24244
1425	21951	24229
1426	21962	24209
1427	21977	24193
1428	21993	24178
1429	22007	24162
1430	22022	24146
1431	22037	24130
1432	22052	24114
1433	22066	24098
1434	22081	24081
1435	22097	24066
1436	22111	24050
1437	22126	24034
1438	22140	24017
1439	22152	23998
1440	22165	23981
1441	22181	23965
1442	22195	23948
1443	22206	23928
1444	22221	23912
1445	22231	23892
1446	22245	23875
1447	22259	23858
1448	22274	23842
1449	22288	23825
1450	22302	23809
1451	22318	23793
